Region,Mean,VAR990,VAR999,CTE990,CTE999
A,92.3692,1360.982,7611.966,7153.9469,48199.7872
B,86.10549,1300.72611,6806.8485,5870.76096,36596.96896
BN,86.41183,1342.28423,7492.64936,6264.9551,39005.39709
C,84.06295,1260.56226,7139.30416,6125.17093,39616.66728
HN,94.74303,1328.34532,7807.56609,8201.04229,59702.64548
IF,86.27278,1459.66257,6814.6798,6121.12864,37236.69383
L,84.94136,1266.63834,6971.98743,5782.23504,35930.60444
NPC,87.85411,1317.28346,7248.58232,6761.76179,45201.49178
PC,84.97035,1263.00695,6875.49363,5923.93985,37781.10738
PL,86.05728,1285.70751,7173.3634,6179.82137,39441.12095
